RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
394735,31,"Kansas City, MO",msa,MO,362856.0,325000.0,340945.0,342455.0,349975.0,358069.0,362245.0,379900.0,375365.0,384885.0,371660.0,381000.0,354900.0,361391.5,362250.0,358000.0,368400.0,363000.0,378900.0,350000.0,380000.0,355626.0,396000.0,400000.0,394175.0,364900.0,366425.0,380900.0,359970.0,390000.0,393574.0,394985.0,395480.0,399000.0,403922.5,398120.0,385245.0,411182.5,405000.0,429240.0,442030.0,456112.5,442099.0,446373.5,458538.0,455000.0,454442.0,460000.0,456792.5,487119.5,475000.0,459950.0,494900.0,519950.0,517755.0,526487.5,579900.0,545615.0,540565.5,530973.0,538283.0,504975.0,525000.0,514785.0,508780.0,530533.0,525000.0,505050.0,529900.0,515000.0,526095.5,514156.0,519997.0,510000.0,529900.0,524950.0,529205.0,529900.0
394492,32,"Columbus, OH",msa,OH,326350.0,324750.0,314390.0,307500.0,336084.5,322090.0,352700.0,410700.0,380000.0,325000.0,354500.0,370383.0,317000.0,325050.0,329845.0,332000.0,335300.0,334350.0,371500.0,359990.0,334200.0,376000.0,329050.0,352947.5,365300.0,339900.0,348100.0,349601.0,325000.0,353900.0,379990.0,348000.0,374790.0,343500.0,342600.0,349900.0,382175.0,350332.5,368252.0,387736.5,397918.0,400412.5,416450.0,395620.0,375195.0,384860.0,425000.0,437100.0,405900.0,419160.0,423500.0,447700.0,433490.0,425900.0,456647.5,450900.0,457460.0,485046.0,490681.5,469615.0,483925.0,480253.5,476220.0,473900.0,484070.0,470890.0,485000.0,485000.0,476250.0,474990.0,478907.0,452900.0,454335.0,456900.0,460150.0,468260.0,475065.0,485000.0
394705,34,"Indianapolis, IN",msa,IN,270000.0,297952.0,319288.0,318750.0,331200.0,320796.0,314757.5,319990.0,313415.0,312252.0,343250.0,338792.5,345000.0,337900.0,333000.0,324950.0,318316.5,340780.0,310000.0,319497.5,298580.0,325000.0,337000.0,339140.0,337417.5,315990.0,323000.0,328481.5,329002.5,310100.0,322000.0,320000.0,327250.0,329500.0,329375.0,326500.0,325000.0,334500.0,325000.0,335090.0,338090.0,350427.0,355000.0,346490.0,350169.5,386758.0,383450.0,377476.5,365650.0,392465.0,389900.0,394987.5,395995.0,379242.5,390436.0,386179.5,389375.0,409995.0,400000.0,400000.0,403212.5,395000.0,399900.0,400000.0,394365.0,384990.0,374500.0,396500.0,403889.5,397650.0,386000.0,384500.0,367750.0,368000.0,365000.0,390000.0,399000.0,379900.0
394475,35,"Cleveland, OH",msa,OH,298400.0,271995.0,284550.0,274900.0,314045.0,261647.5,285450.0,245950.0,256267.0,290092.5,276150.0,291830.0,267500.0,266000.0,275825.0,243647.5,263405.0,256500.0,278625.0,310785.0,292250.0,280736.0,302001.0,364400.0,305000.0,291750.0,314100.0,290000.0,305000.0,300455.0,365000.0,297464.0,284330.0,340244.0,273828.5,301293.0,299810.0,390245.0,329500.0,363048.0,341719.0,390051.0,311827.5,283605.0,348998.0,387950.0,386300.0,356895.0,386935.0,339900.0,428151.5,393801.5,420000.0,339500.0,351176.0,394900.0,397678.0,399245.0,393710.0,430342.5,431579.0,520000.0,436000.0,488362.5,383100.0,410559.0,462200.0,452170.0,450364.0,462500.0,497500.0,453309.0,486610.0,520000.0,486225.0,485000.0,500400.0,476278.5
395059,36,"San Jose, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257830.0,1300000.0,1368755.0,1319296.5,1860000.0,1455000.0,1196500.0,1767559.5,1900000.0,1380365.5,1749960.0,1210000.0,1410500.0,1755000.0,2205000.0,2868000.0,1860000.0
394902,37,"Nashville, TN",msa,TN,313365.0,332000.0,343467.5,338999.0,352500.0,364990.0,364820.0,371610.0,365000.0,378448.0,379999.0,359900.0,341018.0,338000.0,350624.5,365000.0,363900.0,356424.0,352257.5,363236.0,364990.0,369900.0,385000.0,369900.0,340000.0,357450.0,372899.5,370005.0,355000.0,361520.0,349900.0,352140.0,353702.0,354950.0,362115.0,354260.0,349900.0,361700.0,371650.0,380755.0,400000.0,405000.0,399493.5,401938.5,410790.0,416193.0,409410.0,434896.0,408467.5,446100.0,430133.0,459835.0,469945.0,459950.0,479006.5,450000.0,458710.0,499447.5,479990.0,465827.5,456350.0,475000.0,478790.0,460077.5,460000.0,474930.5,469944.5,469900.0,465570.0,466670.0,459860.0,469900.0,450000.0,485000.0,485000.0,494900.0,476925.0,474945.0
395194,38,"Virginia Beach, VA",msa,VA,288380.0,285000.0,292400.0,288793.0,297752.5,324745.0,309900.0,325570.0,324900.0,318520.0,333740.0,320400.0,292500.0,311980.0,299000.0,307392.5,309900.0,317400.0,332246.0,323400.0,314690.0,334500.0,325000.0,349825.0,315240.0,305750.0,324650.0,324400.0,313050.0,314900.0,319000.0,317450.0,333515.0,326487.5,339600.0,349100.0,328850.0,332650.0,342650.0,360655.0,392200.0,368737.5,377427.0,364900.0,391530.0,393019.0,378707.5,414180.0,399250.0,396868.0,405000.0,413733.0,420000.0,420000.0,455000.0,414550.0,415307.5,425042.5,430895.0,429900.0,377020.0,399749.0,406375.0,416950.0,429900.0,449747.5,400520.0,429990.0,386500.0,419250.0,400000.0,396670.0,389000.0,392580.0,392595.0,431000.0,442000.0,441495.0
395005,39,"Providence, RI",msa,RI,341400.0,372400.0,365908.0,369900.0,380000.0,444500.0,399900.0,385000.0,394000.0,388700.0,401873.0,383000.0,417450.0,417750.0,441662.5,355000.0,394500.0,396000.0,395900.0,399900.0,371450.0,400000.0,395045.0,385000.0,385000.0,364000.0,473500.0,399900.0,419900.0,396000.0,419000.0,415450.0,415500.0,489000.0,465000.0,447250.0,444848.0,412500.0,433370.0,452330.0,451308.5,492474.0,499000.0,520900.0,481000.0,491872.0,533846.0,512500.0,530500.0,519000.0,520000.0,471950.0,500000.0,555000.0,563850.0,565000.0,500000.0,549900.0,594750.0,580000.0,580235.0,612500.0,515801.0,598425.0,550000.0,530000.0,600000.0,554500.0,624900.0,580000.0,625000.0,545000.0,599900.0,579000.0,544450.0,489900.0,576308.0,560000.0
394714,40,"Jacksonville, FL",msa,FL,278000.0,280000.0,287900.0,269990.0,289255.0,282500.0,308426.0,294900.0,281953.0,279851.0,308516.5,304656.0,284080.0,291255.0,285000.0,289990.0,291745.0,289990.0,300000.0,299927.5,281100.0,285000.0,274420.0,290100.0,283970.5,284990.0,280500.0,280000.0,291990.0,285900.0,297740.0,293900.0,295340.0,294490.0,299752.0,305000.0,298235.0,286450.0,306900.0,319842.5,315000.0,321414.5,347165.0,338500.0,340000.0,335817.5,361472.5,389495.0,387480.0,389379.0,393300.0,384987.0,385000.0,380990.0,383620.0,386170.5,376495.0,382995.0,377267.5,413245.0,357990.0,364495.0,374266.0,378990.0,400000.0,380000.0,387990.0,385000.0,380000.0,397000.0,387007.5,399990.0,374485.0,390000.0,399240.0,405000.0,391489.0,394990.0
394862,41,"Milwaukee, WI",msa,WI,,,,,,,,,,,,,,,,425000.0,370000.0,415800.0,350100.0,382700.0,391950.0,355880.0,394900.0,403035.0,406200.0,431950.0,439999.0,399900.0,416600.0,462800.0,429700.0,448745.0,439900.0,459900.0,462900.0,487000.0,445000.0,397400.0,437086.0,444350.0,454947.5,479900.0,451900.0,481189.0,465900.0,475320.5,504500.0,486199.5,474665.0,490000.0,466450.0,490000.0,538945.0,540021.5,549900.0,513900.0,560688.0,512490.0,546844.0,534500.0,473250.0,544900.0,532752.5,499695.0,573310.0,542400.0,531870.0,540573.0,505273.0,592199.0,598000.0,573547.0,575000.0,577310.0,549900.0,567400.0,630627.0,572608.5
