RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
102001,0,United States,country,,1257.79698151852,1264.6943301562108,1274.0233716142818,1283.5661687801185,1293.2451998477043,1301.482723301427,1307.6880035423976,1311.4537696054915,1313.5401655189976,1314.0655587601243,1314.4944591707545,1314.9122618828158,1318.2499758964398,1323.5390168557785,1330.2006566413934,1338.304772725931,1346.827056729216,1355.3965724902016,1360.5034040507844,1362.8418537670061,1362.8148963635945,1361.2146170447813,1359.897592593656,1358.9283881907836,1363.8349816876869,1371.959136337675,1384.1913993499638,1394.3776901723606,1404.1650071487043,1411.552837734977,1416.6925433354456,1418.3926186619658,1418.827086486794,1417.2867417268692,1417.1442055273296,1418.021242303957,1423.062850898157,1430.870456537239,1440.94988469749,1451.0310041441292,1459.6902982563952,1467.6366752538106,1473.3064971912258,1476.7395246783371,1476.2281636333664,1475.4198111656533,1476.104422303887,1478.4065765950174,1483.0567596410017,1489.5654477132366,1500.1661600439809,1510.6959723425853,1520.9449706373182,1529.3371467759935,1535.5989172512138,1538.9811517918909,1539.0276660695154,1537.6912985216843,1536.5831833445986,1537.7799148098375,1543.1772640830986,1551.8704164675507,1560.4352941283892,1560.6265953566995,1559.033096481485,1558.8702490330352,1564.1164572852274,1565.4942710220466,1562.8797394785224,1559.839740010179,1558.6569380522112,1561.100529919986,1568.2554255471118,1579.898685047064,1595.713085408677,1616.3131817867118,1643.4331467939087,1674.9320549724957,1708.4603717642135,1739.601876286648,1765.0076913476182,1781.0896736702332,1791.8361958457067,1802.1402594366623,1813.5880610475724,1829.835878244473,1846.605374877752,1868.3985060168031,1890.4915370954018,1913.9514707223746,1933.6410276831543,1945.8154629333005,1949.6593497734732,1946.2699437679332,1940.4977714594465,1937.8443921086157,1939.9651997671892,1946.689142598483,1957.9049501271224,1969.0947372775222,1981.8092197174553,1991.184764465645,2001.026669902,2007.3059244221686,2010.6784380816177,2009.6933092513714,2006.3930789006915,2004.1935433941833,2007.0853286392821,2014.798785714888,2025.5831168783802,2037.4932664591443,2049.674841698967,2060.769002134033,2069.8672571304883
394913,1,"New York, NY",msa,NY,2421.413451895684,2436.9815884648215,2455.913970565225,2477.744255526443,2494.3167919086773,2511.7852675501836,2522.672559840132,2533.178038863667,2537.501282162772,2535.419153810454,2526.5984336273,2516.715514652881,2513.5590142276437,2517.171652501666,2525.2298716584846,2538.1778343716783,2553.3140925521893,2569.020158955986,2582.4928223312454,2587.037048447154,2588.11380053359,2580.4246500989275,2575.122122725649,2563.273261948022,2559.346091260998,2559.5212674985323,2571.034984561745,2586.1246249028977,2605.640055838271,2621.5347547669853,2633.0004104755685,2635.374025622193,2634.016527521408,2619.9987209213455,2603.789243990457,2589.3145904427424,2587.4012867526217,2594.621740242811,2607.893585518589,2628.427385408705,2648.1122096358845,2666.751813896914,2679.392396646556,2689.147487067067,2689.68142530739,2680.422378014918,2668.6397552418607,2657.875509742218,2657.5318186545865,2666.6505362143953,2682.951070884566,2701.1243109567326,2722.7765685938075,2745.471976891129,2761.9092780129595,2769.5099022870245,2767.632866143784,2763.1503214681406,2750.5234906081178,2742.267349209529,2741.4485037704476,2755.5567751241515,2766.031820504319,2759.098197555793,2740.5139578604394,2716.0267792205836,2689.700202288945,,,2539.389516164292,2505.745992397263,2491.696938194526,2489.500168640045,2503.384057468522,2526.2806326951672,2556.3460933794404,2603.5712987806082,2661.8714170723274,2727.954552735342,2791.0528312224933,2842.3507877837064,2877.7782974009197,2900.9963262960882,2921.258696718934,2945.769232262086,2980.612596056427,3022.464459729899,3067.4130939201573,3122.5060034205567,3180.3437840513297,3233.8157841070984,3263.9107217589703,3268.0572099033307,3250.244455544764,3221.167218033369,3201.1409821633256,3198.290259663345,3212.858272858803,3239.8178541526718,3274.6131833596087,3313.53269558215,3347.2931358785586,3372.275319870189,3382.0331082919092,3381.1283302652073,3365.3387653518475,3342.3374001847724,3323.9119522801525,3327.0916713501183,3344.8225672275657,3377.7825098971243,3407.949724039024,3443.846009073711,3474.000161462686,3493.099808911704
753899,2,"Los Angeles, CA",msa,CA,1855.6932626111784,1867.541114111681,1884.1430113744934,1897.5174195000134,1913.1743133614361,1924.9722989926224,1940.0706171374075,1950.0486025084144,1959.7427154635238,1964.7524786120227,1970.039516657518,1976.2957680286531,1985.8395413482938,1997.5589263935958,2010.132805086536,2019.370401141318,2033.4296226451172,2046.474600383376,2060.5481749024793,2066.48666615416,2072.0883869015975,2073.706693459947,2075.8743735565176,2077.704267990638,2091.648593232018,2108.604386769192,2130.922930596952,2145.2285350836805,2158.9304674141545,2167.708258299541,2177.4331447937507,2183.3262636082386,2189.101947544381,2190.9304163028037,2195.844453512193,2199.672043062437,2210.5800660114746,2221.921589192333,2234.148486138313,2243.7127644128177,2252.186015086502,2263.9765105694873,2274.2527722917603,2283.6376353177557,2287.8122725201524,2291.850293855888,2297.613484461125,2303.743969155343,2309.658701429195,2314.261020147515,2326.2125694340552,2336.8245759823844,2348.9410785023315,2357.4941563053526,2366.2014738883063,2372.6064743802435,2376.624433500818,2378.632494750818,2381.786832741561,2385.2675508975417,2392.9040926626517,2397.6975079074496,2397.785270627876,2384.603979517851,2371.4733130470645,2363.8799104781906,2365.3444533934817,2365.9684932068953,2365.6226926451836,2366.7322711702695,2368.55388858507,2368.885796290431,2376.616942854786,2386.05844836139,2400.8427413690088,2412.777901392293,2434.259331081544,2469.73686456757,2518.4225142465566,2573.9749614085995,2616.962722442537,2644.2459594766815,2660.090087510359,2677.6122000848236,2697.312787837299,2722.7799078533344,2749.1329265500794,2779.8942640622813,2807.981490028568,2832.7628900810396,2854.5691089012676,2869.5015530973224,2875.835038579589,2871.7809196357625,2864.320960322554,2858.144365227265,2856.1206015863213,2861.3040475363064,2874.14797752026,2887.379290096856,2897.6985790226768,2907.5068078655654,2921.105872960703,2935.0461371457163,2939.1803188659724,2937.595660047568,2923.9173309029975,2915.164238577188,2918.0446275335153,2929.7955432509534,2946.6728981017704,2956.7333630235084,2972.214784923849,2985.810185377744,3000.5144979013003
394463,3,"Chicago, IL",msa,IL,1444.4308363039895,1451.3221509765726,1461.5810283767044,1471.2800699299373,1482.025086937471,1491.6266840602243,1496.3420537186005,1498.891320031538,1494.2742556700762,1486.8461430760456,1480.1809217012803,1480.0062723283806,1488.0630635167952,1496.7914163984292,1508.210124501922,1515.8097294294132,1524.8357990354502,1533.424668668056,1540.0932717005978,1543.9221928103145,1536.7838021462003,1526.4729606315327,1513.9029331237218,1507.6086477311194,1513.9471541043097,1528.3684605020164,1547.8129507366154,1561.6321280039076,1573.883398786014,1579.4947877923366,1581.5344672447013,1576.3278965683164,1570.2949774151377,1558.8661426620451,1551.8733545031712,1549.6248153328688,1558.1615476242353,1569.885006960089,1583.288701376348,1594.8540189256842,1605.0279428071287,1613.7526923539374,1618.0574768059805,1615.8015493311457,1605.677492847391,1594.2440205411528,1587.4735782163161,1588.702979351294,1597.7496228233601,1608.4672195364183,1623.7719663947898,1637.104977897413,1649.2344936830305,1656.555692828566,1659.7829027659993,1659.7186970578343,1654.7174965492206,1647.4177131163458,1640.310604615949,1635.1226782069166,1643.9182989075332,1655.7952082764775,1671.4534706165662,1672.521437250677,1671.0751362908481,1667.0557742153617,1665.9439764096571,1659.7467949773684,1644.9230671372236,1623.3875167474985,1604.8087798498161,1596.5915495093036,1598.077107865541,1609.402185465884,1626.7916693141397,1653.4581174811858,1681.0378635820782,1707.6547215512308,1727.8542218282744,1741.6467779792404,1749.2151920539277,1749.909009729008,1750.0832424408804,1755.3532862784537,1768.0389615387983,1784.572098549019,1804.9396818756086,1828.745835062885,1854.7437047884885,1876.002269019134,1893.8218899280062,1902.5195095530787,1904.2426739311152,1901.3609577600082,1896.1520020537725,1897.3758332283892,1904.6247281300098,1919.6277999114411,1937.1683982793463,1955.1546058005567,1977.198852156146,1996.2180742212397,2008.6271027048326,2014.6911931458214,2012.7077880770269,2005.8626350454304,1999.1391518809662,2002.2687024891736,2011.3847305421036,2024.8581960408037,2037.5549270554875,2058.4029218643273,2077.7649787523283,2096.4074069173294,2105.6137188279554
394514,4,"Dallas, TX",msa,TX,1143.6546148178327,1149.4692808528634,1157.7841983926548,1170.2074830308493,1180.569003284743,1188.8938271016566,1195.5065097613149,1199.2467789866528,1201.126827867236,1201.0185641805856,1201.9862728008995,1203.9465740572582,1205.841921312387,1211.585991377883,1220.4119826404406,1231.6718468362862,1240.7865883322474,1248.0702927464397,1253.1971271258851,1256.5405826746644,1256.5845511991847,1257.1113870852337,1257.5456362091775,1258.2240597388648,1263.1501442669419,1269.254465075212,1282.9127444825235,1292.692386258294,1305.6745829357978,1311.8435493767504,1317.1597295459417,1318.5151139841696,1318.0175257199382,1315.7501873373074,1316.7820390592399,1316.6847502846385,1321.4633673018827,1327.7198373632295,1335.914690000626,1343.721158025316,1349.0167595865296,1357.7564597605242,1362.0836773346332,1364.7607379058456,1361.8620138796762,1363.8174810728572,1364.2740136175091,1366.6828057646696,1369.226970738383,1373.9413228951405,1385.5551058860756,1395.1017318807442,1404.4443691025492,1411.4024143005113,1415.5480104410385,1418.5424042198465,1418.1197928363433,1417.2935302675942,1414.3160468154067,1410.603347377761,1412.8815396239331,1419.6401852407967,1427.7361966151643,1427.8405056385927,1426.5604498293867,1427.4793367036743,1432.1061296866785,1436.6276432564598,1438.6591353175354,1441.937966990352,1443.6755416994756,1447.7232462493157,1452.5499605503596,1461.917296584233,1473.1180389944352,1493.4644531204008,1520.4638616194752,1555.895620976113,1592.1524705978456,1625.5176941230575,1650.8852150065463,1666.629674050717,1679.4564454747087,1689.6192419947163,1700.810412977186,1712.975059111024,1726.074825398661,1747.0183286798792,1770.847438550584,1801.9890155984413,1823.6702166998307,1833.185203727616,1829.7258603500661,1817.343703008461,1807.5738742583283,1797.7136762055063,1797.6349752002698,1799.810653380128,1809.7512808378947,1814.2433066108385,1822.0769283104298,1827.6843781857267,1836.4366242927283,1838.9927015714597,1836.2287854591234,1829.2190373021424,1823.4396203577119,1815.700741685938,1811.134472460776,1807.1327325715818,1810.9486947632458,1816.2910394196645,1824.6463461899707,1831.2155986952066,1838.018951903631
394692,5,"Houston, TX",msa,TX,1267.0832146605364,1270.6380043737993,1277.3618325060195,1288.5516715677772,1298.6890573417068,1307.1996730797182,1309.2913137784844,1310.1395363759088,1306.9707112511826,1303.0414377914444,1299.524129847085,1297.4785404521679,1298.6259921599176,1300.7393167521868,1306.8811489126929,1310.700506097978,1314.0800925723925,1314.6610188626837,1314.8010507384881,1312.1790705458782,1307.1880216512836,1302.8459898591216,1297.1300592447888,1294.6390365477719,1295.5366144401776,1304.1705806063646,1312.6286573469179,1317.872214331838,1325.3746090332781,1327.3789267693392,1328.4274202396755,1323.0502886915501,1330.1231779484108,1338.6281394616026,1349.8838016576076,1355.3425551180733,1358.372435771599,1364.44010121139,1366.0136426626443,1373.1613690863637,1375.7010282674084,1381.781854036086,1381.5039609558005,1380.0761247544363,1375.682544058593,1376.656810247221,1379.0256998845875,1379.4652323474463,1380.2924584103682,1379.1821140622462,1386.2881529218128,1391.2386850299786,1400.3884758685745,1406.2343333729473,1410.1417912852833,1409.3783030339669,1406.7710611790667,1406.1218489353444,1405.939279169883,1409.0800956846742,1411.8674883627803,1419.0775508084507,1424.3755326806317,1420.87084977488,1413.3088982324932,1407.2599241322764,1411.5516179811698,1416.7732471528393,1418.1155010650589,1420.4028344274718,1421.940015945851,1422.7948562008903,1424.635630905047,1425.5138452144322,1433.3415907293631,1445.9106996409032,1467.7461624633752,1496.1932204319583,1522.9828989490434,1547.9201633757077,1562.20237556968,1570.4619706747042,1574.8594163121202,1578.9732879402068,1585.5316012397875,1595.7816953486083,1606.9128343101493,1620.2508264120509,1632.3958030920742,1648.2261342515587,1661.0639784847062,1668.5193561353715,1666.6862384221643,1662.3224706934457,1657.5974771797953,1656.0980023566149,1659.987533887885,1667.216659549171,1679.061817812369,1685.3504653066984,1695.569749327963,1703.1455887686507,1710.195266917473,1711.164034979602,1708.444974550545,1704.843970189276,1700.9700519971616,1700.6663443936113,1702.5580999813358,1706.8990442018726,1711.028956611079,1719.9075529027757,1730.3586731567962,1740.6087690300483,1745.5635264537034
395209,6,"Washington, DC",msa,VA,1782.6845567714583,1788.8613415751008,1801.1726271233413,1809.7776461911174,1820.3713068374707,1827.7275036464366,1831.7713931619255,1829.089453968898,1827.8196479089984,1823.3562446289177,1822.9522115892705,1819.0519724811713,1822.7151076952202,1826.1212111158948,1833.8408942473188,1841.4763629684965,1851.1054485377729,1858.9870335807138,1863.0767741830161,1863.7434836944308,1859.7082137386396,1853.9180269704007,1848.9952445276756,1845.203324409576,1850.696121044778,1862.795994814323,1877.6889091938508,1889.2866803121208,1895.2464250667608,1902.8396285530885,1905.9011365536492,1905.4211085698869,1903.298838824322,1897.790287137564,1892.2938247154893,1887.9146313126314,1891.0829537265338,1897.6398098246889,1910.0630230268464,1922.5252673228567,1934.3509409150254,1943.2580465278565,1948.6560470350933,1953.081667568155,1948.4568323327255,1945.7348841599376,1946.3173067935372,1950.9938237273905,1955.8668099990828,1961.8977349489744,1971.980967414523,1983.451148102288,1995.2619202850608,2004.988584680907,2010.8474906946906,2012.37028998323,2011.8743759693325,2006.1004105724705,1999.874172296067,2000.4458752861035,2009.0252565468613,2018.5854932942045,2028.1788123850542,2026.4792991808379,2023.6379317198687,2016.6368814283578,2015.1553956779128,2010.3036316964042,1996.3658907622853,1978.464917653004,1957.5267813129346,1946.335557012898,1947.595367256155,1955.7504626779412,1965.9136391728302,1981.7009463670886,2010.9054471668176,2050.627914298245,2090.0508770353895,2122.5778803665435,2143.0641873903933,2154.0367449080504,2155.196765655139,2154.8869508913153,2156.148364962644,2166.613051137168,2185.03472278815,2209.5573192351258,2236.645039607651,2264.269642691914,2289.5780437867293,2302.7666158701895,2303.7270956691755,2289.725107703605,2275.1965513555847,2262.18461714408,2261.5851417934123,2271.073614138719,2289.631936680856,2307.878854412659,2328.0813452422276,2345.520647515656,2362.1321137344535,2372.2185780734994,2377.882025688609,2377.1541646421038,2373.8904577894054,2366.834658404727,2368.491128112645,2379.7836519043053,2401.0766802910275,2421.5601630473566,2441.1101331100326,2461.4664316788494,2479.470156139837
394974,7,"Philadelphia, PA",msa,PA,1265.7886139517348,1271.8901854892438,1284.2805238330238,1291.655627679163,1297.7867162580465,1300.9879740178112,1302.648903405078,1303.5317846277424,1302.1031408251304,1301.594041916161,1297.636986782456,1294.2602460244111,1295.0911494362315,1304.066278143203,1313.698648250565,1323.4833151526882,1329.5150156720877,1337.0310802061156,1338.0279355090754,1337.1989846617773,1334.123359605044,1331.3329980007231,1333.2142989050717,1332.7759410811204,1338.1538992389471,1344.5664749740888,1356.8887644784818,1365.7760069253366,1371.9732583269804,1373.2505283320834,1373.7459442495249,1373.9804638829646,1372.921915637917,1372.15673636363,1370.570417376708,1373.206960637578,1376.8009226792126,1384.3568704368163,1395.4276056410888,1405.5463014687432,1414.7773502889027,1418.9864040605603,1419.7927342898813,1418.6293744365985,1416.824890708325,1418.1514838051169,1422.1385847947024,1421.5068422150214,1426.046090855381,1432.4256782002467,1446.9702417029307,1458.1009181948398,1465.358756037964,1473.5116680878568,1477.3121165515722,1477.366317314356,1473.0466430954234,1471.6346458526366,1472.4450658923395,1475.9808286612672,1479.2764535913525,1489.5302679182405,1499.4343350901365,1502.9288049788256,1502.491696481098,1502.6478814154816,1508.9890600595254,1508.794236978586,1508.213544297467,1507.5702536604763,1510.0201096519716,1513.0396612147795,1516.7923438739251,1522.4506143773544,1530.931901943829,1547.026783384334,1569.3466682384917,1591.1659536566199,1610.8940988905617,1628.3522954347943,1637.5142595592517,1647.9146117159212,1656.5851510488299,1673.761114917655,1683.5460395499251,1695.4254006041413,1705.9363342581219,1720.7183068904721,1735.2761265282556,1750.5105710933103,1763.73236638896,1769.9813688411277,1772.1983306677637,1767.9014456618827,1766.2480715690162,1763.832607706765,1767.2053818872964,1769.0957270774218,1778.0934895152975,1786.7701409626459,1798.6521547879906,1803.8711018770855,1811.7845724514507,1819.3257232157384,1831.5374724057885,1838.0686678551758,1840.7372866963042,1836.3349062097934,1835.5944789107286,1840.9713839361023,1849.5472576524692,1858.2204327882953,1865.7003458795893,1875.5070544104842,1885.3475398695743
394856,8,"Miami, FL",msa,FL,1536.468398094567,1542.9598726811828,1548.6533556136046,1555.7304059301441,1564.8345352780034,1574.020031813543,1584.1608000735391,1591.8648656021087,1603.3141464034602,1611.3362322224814,1620.4514745939018,1623.1042900629789,1627.1658382300575,1629.1053658291623,1632.6626930027232,1633.2892358383601,1633.428143008947,1633.1010099335524,1635.5515292001937,1638.1776380823485,1643.5844938013092,1646.6325599782328,1650.8444698108733,1650.656878931815,1655.8207395484997,1659.532383434541,1667.4234855246689,1669.6280359759735,1672.0379994852678,1675.5107675020274,1681.6862236853642,1689.260580993914,1696.0120854297138,1701.2749893674102,1703.193729018721,1703.9223422941384,1706.2378719899568,1709.326672747201,1713.7976247101394,1717.8865082449006,1722.0002563579087,1727.4108162690009,1733.8839992349417,1740.852327916078,1745.9553258367225,1752.1207243161286,1759.0519232587428,1764.8944477164325,1765.117325736062,1764.327930111402,1765.3355608082056,1769.0552578456345,1773.9320275284508,1778.1046514998486,1783.2191693708812,1787.912145011193,1794.605297143465,1804.421141240574,1814.8313200856041,1822.1216849310945,1824.4745612058155,1827.87908322748,1828.666051903901,1822.3295330687458,1812.3821404029488,1810.8207005297638,1815.688911010989,1821.595239863864,1826.8131152212998,1840.9010288835302,1860.7506044690354,1877.8813697210433,1893.5743051189959,1916.4138694952994,1944.898053610216,1980.6793004880344,2021.7100510211317,,,2210.499283359582,2272.910818975212,2322.3263827888168,2369.530552169023,2417.910921077704,2460.393889260037,2497.133364528714,2536.7918911748684,2578.0756346084054,2618.057248367823,2646.2827002651707,2668.313656342707,2679.619108193701,2689.491988319473,2694.408524468318,2702.534835066783,2707.7026967949964,2707.409082101775,2707.8571795655052,2710.630763854164,2718.527945813459,2727.0512277204084,2735.42757438758,2742.7108742068917,2749.5837868675185,2758.0141666747772,2770.602903241036,2778.6772540191705,2774.818960875266,2770.3989466844264,2774.198313808716,2783.6047160653056,2793.208104603131,2795.0558992259225,2800.0588402150133,2806.318595420815
394347,9,"Atlanta, GA",msa,GA,1063.419643546811,1069.6058281560047,1073.573133165737,1084.0716587882018,1091.9558264154255,1103.6424429904584,1110.5505673530115,1114.1257227692277,1115.141489070309,1115.265819430723,1116.1435795272869,1119.4947393384712,1123.5352549942497,1131.0480898104288,1139.160606302951,1147.0573678488413,1155.7238979333417,1164.674021763743,1173.9657845003,1178.7590186307802,1179.0105254090465,1179.3031503658635,1179.1375938211124,1181.1332300036606,1185.4400836836196,1194.8063301964683,1206.7523325593133,1218.9223870302783,1230.9993183054928,1241.9410912590563,1250.9960328461352,1254.9817781501988,1257.5716271924496,1254.977001708386,1256.4749266304434,1257.8307279680544,1265.5576139591226,1274.578478555431,1286.6092710561034,1298.6196467179905,1310.12381955812,1318.8093068713708,1324.8227894296547,1327.7560286846922,1328.7958514288828,1334.0319842847396,1339.2757124979075,1344.477066426205,1350.5007763703445,1358.329277415932,1371.4003590884731,1382.7785565173115,1393.370125142561,1402.1465307859587,1407.2865364920458,1412.1550229688246,1414.3583763784625,1413.8971875799446,1410.9933636846897,1410.7723055053166,1415.3437895641955,1424.2776757875267,1432.7249211618757,1435.5062764928314,1438.4410494434458,1445.4921811838703,1461.4915124722356,1475.0859804223824,1485.4064916762406,1492.4089858893362,1498.914698476397,1504.8324361992256,1516.2744937339037,1533.3148245326151,1553.0544610734544,1576.9024775981622,1606.710910901176,1647.4426907333304,1691.5897334824397,1736.5530841320724,1769.1216308329963,1789.6322472265374,1797.277089209324,1801.3955568699118,1805.9408755564612,1813.1143439616553,1825.6024533685493,1838.8479038739872,1857.883847841209,1880.1287029706803,1905.301999009735,1919.9253580491256,1924.0922789475262,1915.8409147854718,1905.863959811757,1901.039071482099,1900.037112265609,1906.2565663448477,1914.8727215628512,1922.073120726556,1926.970824781513,1926.058261763509,1929.2467912335103,1930.017288690322,1931.5359796212097,1923.401829687839,1911.9381404976716,1903.2374919629744,1907.11932254194,1918.0514137282073,1924.3175104460877,1930.1012342365148,1936.2641633823064,1943.6914020972972,1949.6740134877539
